,age,overall,wage_eur,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_heading_accuracy,attacking_short_passing,skill_dribbling,skill_curve,power_shot_power,power_jumping,mentality_aggression,mentality_interceptions,mentality_vision,mentality_penalties,league_level,nationality_rank,club_contract_valid_until,work_rate
11149,32,64,1000,185,78,64,42,59,63,63,69,62,60,62,61,55,49,77,60,62,53,43,3,4,2022,6
12653,25,63,1000,178,76,57,55,60,59,58,72,54,62,67,58,47,60,63,69,58,57,52,2,2,2022,4
9266,25,66,7000,175,70,72,32,61,64,61,60,62,47,64,62,52,31,61,63,64,63,41,2,6,2022,6
1333,31,76,13000,190,82,57,77,61,73,30,81,58,83,70,77,46,81,74,82,25,60,75,2,10,2022,8
10437,22,65,3000,185,70,71,65,58,68,33,60,59,62,66,68,53,66,62,58,25,59,62,2,5,2022,6
2816,31,73,8000,176,93,62,72,57,69,29,82,52,76,65,68,52,80,74,76,19,54,66,1,1,2022,7
523,31,79,2000,182,80,65,64,74,74,75,78,62,62,81,73,70,68,70,83,81,74,68,1,2,2023,9
12466,27,63,2000,189,85,51,32,38,39,62,76,29,63,48,32,35,44,44,72,58,31,48,1,1,2026,6
2247,29,74,30000,172,71,76,63,71,70,72,66,74,69,74,68,68,61,63,65,71,67,66,1,6,2024,6
12237,19,64,1000,180,74,65,48,64,66,56,64,53,56,70,66,62,57,66,59,49,66,48,1,10,2023,6
978,28,77,45000,178,67,70,49,71,71,73,77,60,56,78,70,56,61,79,77,73,75,46,1,1,2023,2
3936,32,71,7000,176,73,69,62,72,71,62,65,70,64,73,70,68,61,54,68,64,75,58,2,2,2023,4
14801,21,61,1000,187,75,67,33,49,55,60,67,27,65,63,59,29,34,57,70,55,53,37,1,9,2022,8
8514,33,67,500,187,85,69,64,52,68,45,73,48,71,58,65,39,59,70,49,42,55,72,1,1,2021,6
3697,24,72,7000,182,75,73,41,61,68,68,74,66,57,66,70,60,55,72,74,70,56,48,1,10,2023,8
6952,23,68,35000,181,68,69,60,65,74,35,58,60,52,67,75,73,58,59,50,33,67,62,1,6,2025,6
4023,29,71,34000,172,69,73,67,70,75,48,65,72,56,71,73,75,73,69,80,48,69,68,2,2,2023,8
180,24,83,77000,175,69,78,71,82,84,76,70,88,65,81,84,83,80,73,77,80,79,55,1,5,2025,9
11382,29,64,4000,180,72,68,62,62,67,57,64,54,46,66,63,66,61,69,67,63,64,51,3,3,2022,8
2835,23,73,48000,178,64,64,45,62,66,74,74,43,64,75,63,50,67,69,88,76,59,45,1,3,2023,4
16258,18,59,3000,185,70,59,29,36,41,62,55,35,62,41,37,28,47,74,57,59,32,47,1,3,2022,6
10948,21,65,2000,169,55,78,43,52,65,60,51,68,47,52,64,42,48,63,60,61,48,41,2,5,2022,6
10914,20,65,500,174,73,84,49,61,70,58,64,66,41,58,72,68,57,52,80,58,63,33,1,6,2023,7
5718,28,69,7000,172,63,66,41,62,65,67,71,53,61,68,60,68,53,71,77,70,59,50,1,7,2022,3
1465,40,75,900,174,69,42,71,80,75,38,50,79,45,80,77,82,69,45,75,42,85,80,1,1,2021,5
11689,21,64,750,187,73,66,29,41,47,65,69,27,65,61,36,28,43,65,57,63,32,48,1,1,2021,6
11385,30,64,2000,184,73,80,46,56,62,57,64,58,51,53,59,51,50,51,43,57,63,47,3,3,2022,9
9713,19,66,1000,186,74,63,50,61,61,65,64,50,61,67,61,37,51,59,65,65,67,50,2,5,2022,4
151,30,83,38000,176,65,83,80,85,82,67,71,81,50,84,82,85,78,38,68,77,89,80,1,5,2023,8
8281,21,67,4000,196,91,62,33,43,52,68,70,34,69,61,51,29,47,55,62,65,28,43,2,4,2023,6
2286,24,74,17000,179,82,81,64,72,73,70,75,76,58,72,75,83,82,80,70,68,66,55,2,1,2022,8
7628,30,67,4000,170,69,80,67,60,65,42,77,58,68,66,63,62,71,74,74,52,52,73,2,5,2022,9
10325,33,65,7000,177,72,90,64,52,71,23,52,51,56,61,77,41,62,45,41,23,44,77,1,6,2024,6
10768,21,65,3000,186,80,65,34,48,48,64,72,39,66,54,36,26,57,72,71,62,49,33,2,4,2022,6
5745,26,69,3000,184,82,65,70,58,68,22,67,46,68,64,65,65,71,68,33,14,64,74,1,6,2022,5
13741,24,62,500,183,72,72,36,54,60,59,65,56,54,55,62,45,35,81,63,58,50,44,1,3,2021,6
8241,22,67,9000,193,78,75,45,54,63,63,73,62,55,56,64,49,59,44,69,62,53,52,2,3,2023,8
6801,29,68,500,183,70,76,65,60,68,27,57,70,67,65,70,40,66,76,31,16,60,66,1,1,2021,8
10677,22,65,3000,175,76,72,56,58,68,59,68,67,55,59,68,62,70,81,66,57,49,42,1,1,2023,6
7688,29,67,5000,176,77,74,41,54,67,62,74,55,63,57,68,46,56,76,82,66,47,48,1,1,2022,6
1319,25,76,33000,180,69,69,67,72,74,74,76,67,67,76,73,63,78,84,74,81,73,40,1,3,2024,4
14015,20,62,3000,170,67,58,26,48,54,63,43,60,58,60,48,33,26,55,51,65,37,39,2,5,2022,6
10999,22,65,3000,178,75,67,58,63,64,60,64,56,48,70,63,46,63,68,65,60,62,53,1,1,2024,6
5988,23,69,4000,181,75,62,38,53,61,69,70,52,66,61,57,48,46,80,62,69,35,40,2,5,2022,4
11705,24,64,2000,186,76,54,33,38,47,65,67,28,62,50,41,29,46,76,70,63,32,42,1,6,2024,6
1859,33,75,14000,185,83,68,78,55,71,29,76,50,79,64,74,45,80,80,75,15,56,72,1,1,2023,6
1634,30,75,9000,171,71,71,63,77,75,64,69,74,50,81,74,68,68,46,65,61,77,57,1,6,2022,6
83,30,85,220000,176,73,80,84,84,87,52,72,83,83,84,85,86,82,90,73,49,85,79,1,2,2022,6
10470,27,65,2000,175,69,76,65,56,67,18,69,54,55,62,66,45,70,78,68,16,58,61,2,2,2023,8
11570,25,64,2000,184,77,72,62,65,64,58,71,65,53,63,63,56,61,67,63,50,69,61,2,5,2023,6
16320,18,59,500,181,76,65,54,58,59,52,60,45,58,66,61,49,70,62,67,50,53,56,2,5,2022,6
16068,21,59,2000,174,65,70,29,54,56,55,55,58,45,56,53,60,54,56,50,55,50,27,4,3,2022,6
9623,21,66,6000,183,68,82,46,59,62,56,57,64,46,64,65,52,50,75,49,60,55,40,2,3,2023,8
3403,33,72,17000,186,75,72,75,58,63,33,76,64,83,61,64,49,75,88,75,23,65,86,1,1,2023,6
9171,24,66,3000,177,63,85,46,55,64,58,71,61,55,58,62,34,45,84,56,55,55,33,3,3,2023,6
743,31,78,28000,185,75,59,60,75,75,76,75,78,67,76,74,65,69,80,74,76,74,65,1,4,2023,6
9104,28,66,2000,184,74,55,50,52,56,67,67,30,64,62,51,26,49,57,54,69,61,33,2,5,2022,6
6951,25,68,9000,184,81,73,39,56,61,67,70,61,63,63,60,46,61,84,58,67,45,42,2,4,2023,6
2250,29,74,28000,188,78,56,50,61,51,76,75,61,73,67,45,54,71,86,80,72,44,77,1,6,2024,6
15862,20,60,500,187,82,68,37,51,58,54,70,54,51,55,60,53,43,59,67,52,45,36,3,4,2024,9
1565,34,75,31000,178,76,67,76,75,78,42,64,76,67,77,78,76,77,57,60,39,76,70,1,2,2022,6
11501,26,64,3000,186,85,68,63,59,62,33,67,51,70,61,61,53,64,81,53,27,64,66,1,6,2023,7
3774,21,72,13000,185,81,69,41,60,67,72,72,60,67,73,65,42,59,70,72,72,41,62,1,6,2023,6
6910,25,68,5000,169,67,72,58,67,73,60,61,59,57,72,74,59,67,62,60,65,66,56,1,6,2022,8
14255,17,62,2000,175,70,72,56,56,66,37,55,52,52,59,64,56,56,35,62,35,61,45,1,3,2024,6
4163,29,71,16000,189,80,59,59,57,60,72,71,48,70,67,54,36,75,72,78,71,54,48,1,5,2023,4
8995,30,66,2000,189,79,53,65,52,57,36,76,44,68,55,56,44,71,39,56,25,62,66,1,5,2022,7
260,25,82,18000,190,82,60,65,70,72,85,88,59,79,76,74,61,76,81,89,83,71,56,1,10,2025,4
3154,31,72,6000,179,70,74,57,68,72,69,69,70,65,72,71,66,67,71,72,71,65,63,1,3,2022,8
12701,21,63,5000,182,68,64,41,63,62,59,60,48,45,70,62,56,44,59,59,61,64,52,2,3,2023,6
2338,22,74,56000,175,72,83,72,55,74,24,61,43,67,66,74,54,72,73,52,19,58,68,1,3,2022,8
3588,25,72,9000,182,78,70,47,66,62,72,74,51,73,72,62,61,44,82,81,71,67,63,1,6,2024,8
9244,23,66,5000,190,89,63,67,51,64,32,74,37,65,63,64,29,66,71,60,25,58,68,2,4,2024,6
5271,23,70,7000,173,73,67,56,66,70,67,64,56,56,75,68,49,62,63,61,65,71,54,1,1,2022,6
6623,27,68,7000,198,91,54,69,55,62,33,76,56,73,63,64,46,72,65,58,28,57,67,1,9,2024,5
3562,25,72,21000,178,69,78,55,66,64,69,61,72,58,71,61,67,67,62,72,71,58,56,1,6,2024,8
8581,18,67,4000,183,80,72,64,49,65,26,65,40,74,57,65,48,64,79,49,22,47,62,1,2,2023,6
13408,30,62,4000,193,76,64,59,49,58,34,74,41,64,55,58,40,62,68,68,39,55,57,4,3,2022,8
5092,25,70,8000,181,80,79,59,70,72,32,63,74,44,72,75,63,61,70,31,45,71,45,1,6,2024,8
1892,23,75,40000,186,79,77,76,71,74,32,76,67,70,74,74,72,78,73,73,32,74,73,1,4,2025,8
6134,22,69,7000,185,76,62,50,62,64,67,68,46,58,71,64,42,53,62,57,67,67,35,2,4,2024,4
1083,25,77,14000,167,66,84,64,72,77,70,86,75,55,77,76,74,73,50,84,73,76,48,1,1,2022,9
4017,30,71,8000,193,84,51,43,46,44,75,71,45,76,55,32,31,62,46,73,75,37,44,2,4,2023,6
4194,31,71,10000,183,73,86,68,60,73,32,66,69,60,63,73,61,73,74,34,18,61,61,1,7,2022,6
5048,30,70,12000,193,81,57,24,41,44,70,72,23,74,52,33,24,33,83,64,73,32,34,2,3,2022,2
229,28,82,66000,177,67,77,75,77,79,77,81,69,59,85,76,69,83,74,84,77,74,85,1,2,2024,6
9120,27,66,3000,180,75,72,48,61,59,62,51,67,60,64,59,58,58,41,32,63,55,58,1,5,2024,6
18034,20,55,500,175,72,66,36,47,49,50,60,34,47,55,43,32,53,60,53,51,49,39,1,1,2021,6
2368,30,74,12000,179,70,82,68,72,76,37,54,66,52,76,79,72,68,53,45,44,71,62,1,6,2022,6
3571,25,72,25000,187,82,55,75,60,70,36,64,57,64,64,70,63,79,59,58,37,54,72,1,6,2024,6
1893,21,75,26000,186,76,76,72,68,76,61,69,60,64,76,78,64,73,60,70,62,69,62,1,3,2026,6
5687,28,69,6000,185,80,70,36,44,57,68,79,38,69,53,51,31,42,83,70,71,39,45,3,3,2022,4
8137,25,67,3000,180,75,72,61,65,71,42,58,54,46,74,74,56,68,52,47,39,62,60,1,6,2021,5
6489,34,68,500,174,65,73,66,65,68,43,69,67,64,63,67,71,71,69,65,57,69,61,1,1,2021,7
3552,24,72,14000,190,81,59,74,69,70,47,63,64,74,71,71,72,72,59,43,40,72,75,1,7,2022,8
5694,26,69,16000,173,67,85,66,61,72,28,51,65,38,63,73,64,74,48,41,27,61,58,2,3,2022,7
15131,22,61,2000,178,74,64,53,60,65,47,51,47,44,67,66,51,58,54,43,46,60,50,1,1,2024,8
16163,22,59,4000,179,78,70,60,48,62,18,58,34,55,52,62,54,62,65,34,13,55,56,1,6,2021,7
13540,26,62,2000,183,79,68,27,49,53,59,70,58,57,52,50,42,33,73,69,58,43,34,4,3,2023,4
6781,27,68,6000,193,75,63,34,56,62,67,67,40,65,68,58,26,56,78,64,74,55,44,1,7,2023,4
9152,24,66,12000,177,74,73,62,58,71,27,60,58,54,62,73,64,67,65,56,24,64,55,2,10,2023,8
8799,27,66,3000,191,79,59,65,43,61,34,79,31,72,53,58,40,71,74,74,37,45,64,3,3,2024,9
835,22,78,42000,196,90,59,34,61,52,80,80,46,77,75,51,37,66,64,75,77,59,30,1,2,2022,4
17139,19,57,2000,186,77,69,56,40,56,24,62,37,53,44,56,39,56,69,38,18,42,57,4,3,2022,6
14381,18,62,5000,185,73,83,61,49,62,23,62,43,58,54,60,46,64,73,53,14,55,61,4,3,2022,9
10125,26,65,2000,196,88,41,65,55,56,31,73,50,82,61,58,35,69,67,36,26,60,62,3,7,2026,4
3633,30,72,12000,180,77,83,71,53,70,43,80,39,70,62,68,47,76,80,87,37,57,71,1,1,2021,8
2322,22,74,56000,182,75,68,52,68,66,75,75,68,74,74,62,60,68,77,68,74,63,44,1,2,2025,3
6081,25,69,6000,185,74,62,47,59,64,69,68,60,70,64,61,65,57,70,66,75,47,48,1,6,2024,6
7943,26,67,2000,172,63,59,65,67,69,62,65,59,54,70,64,63,70,68,63,62,71,67,2,2,2022,6
12188,28,64,2000,182,76,56,41,59,56,62,66,55,59,66,55,42,54,65,73,69,58,50,2,5,2022,6
5632,29,69,8000,192,88,32,35,50,52,71,73,41,73,61,44,28,50,43,74,72,44,64,1,9,2023,6
9775,26,66,2000,184,75,70,44,49,58,65,69,41,63,59,56,48,62,78,71,63,40,45,2,5,2022,8
9771,18,66,12000,173,67,82,58,57,72,28,45,57,38,60,73,45,62,46,31,22,63,64,1,6,2025,5
3595,29,72,28000,178,76,76,76,58,75,31,68,53,64,56,76,83,86,73,55,25,56,76,1,6,2024,6
9475,20,66,11000,180,78,73,62,63,68,51,66,57,42,66,68,55,65,53,56,50,66,64,1,3,2024,8
15529,20,60,1000,182,76,68,34,49,56,60,70,51,56,53,57,37,49,75,55,58,48,46,3,3,2023,6
53,32,86,64000,182,74,50,83,90,81,71,69,86,61,92,82,88,81,49,58,81,89,88,1,5,2024,6
4117,27,71,8000,174,69,62,76,78,72,44,59,77,40,78,70,84,86,43,52,41,77,73,2,5,2023,6
2311,21,74,8000,184,74,62,44,61,68,74,73,41,67,73,64,44,65,61,78,75,66,38,1,10,2022,4
7545,32,67,4000,185,72,59,67,66,66,42,60,66,67,68,65,69,68,70,46,46,69,68,1,7,2023,5
6844,25,68,5000,175,76,78,62,66,71,39,53,71,51,68,73,69,70,46,41,36,62,59,2,3,2023,6
3308,28,72,7000,175,78,81,64,65,70,65,73,69,61,65,68,66,74,84,59,68,63,67,2,5,2022,8
2273,29,74,16000,180,76,80,75,58,73,29,62,61,76,61,73,55,73,64,44,44,55,72,1,6,2024,7
9096,24,66,2000,174,71,86,55,59,70,46,57,59,43,64,72,57,63,68,39,50,63,49,3,4,2023,6
10088,27,65,4000,185,85,52,43,54,49,66,71,59,60,62,44,27,52,51,67,67,41,47,1,2,2022,6
14072,24,62,800,176,65,75,53,55,65,22,51,59,32,60,66,40,51,53,59,23,51,47,1,5,2022,6
1347,23,76,58000,175,75,75,61,75,74,70,62,82,58,75,74,82,65,51,65,75,66,66,1,8,2023,6
6196,22,69,6000,182,80,68,30,45,52,68,77,30,66,61,43,30,48,86,78,67,32,38,2,4,2024,6
2431,36,73,8000,179,75,35,71,68,69,72,77,55,58,73,65,52,80,76,74,78,75,60,2,5,2022,4
3211,31,72,9000,169,60,64,69,74,73,55,62,75,59,74,73,76,68,56,57,56,75,62,2,5,2023,6
3115,34,72,13000,188,80,41,65,70,64,68,75,64,68,73,60,66,79,58,74,70,71,59,1,5,2022,4
10782,23,65,4000,184,71,63,47,62,66,66,71,43,56,74,65,51,66,63,61,67,64,64,1,10,2022,6
16784,19,58,4000,180,70,72,44,53,54,57,64,49,50,60,52,44,48,83,51,58,49,48,1,3,2023,6
2668,30,73,16000,184,84,62,43,49,53,75,78,43,70,56,49,36,62,75,81,76,48,48,1,1,2021,3
7472,20,68,13000,193,89,72,43,56,60,67,73,58,69,62,60,31,48,66,68,66,46,39,1,7,2025,8
3251,30,72,8000,169,66,58,61,75,72,63,65,70,32,78,70,75,76,60,70,74,74,62,1,7,2024,6
8395,21,67,2000,183,75,80,59,59,70,35,59,60,55,62,74,53,63,52,33,31,60,57,1,2,2025,7
14410,31,61,500,188,77,42,30,38,36,61,69,29,62,54,22,26,51,74,63,60,22,17,5,3,2023,2
4068,31,71,5000,184,83,63,57,68,64,66,79,73,68,69,62,43,68,85,67,66,71,47,2,2,2023,6
9396,32,66,850,192,81,41,26,45,45,66,74,22,66,61,32,29,40,70,69,68,38,34,3,4,2023,6
8278,24,67,8000,178,68,75,33,56,59,64,63,68,61,65,56,45,37,56,71,62,43,37,1,2,2022,6
4942,27,70,10000,191,80,66,32,51,63,72,70,58,70,58,60,50,59,68,74,72,32,27,1,8,2025,3
1833,29,75,26000,177,73,71,46,67,73,75,72,68,75,76,75,65,56,82,82,73,56,48,1,6,2024,6
2507,29,73,1000,185,82,70,73,65,72,37,75,64,72,70,72,65,78,66,75,36,65,80,1,10,2023,6
15497,22,60,1000,184,80,64,49,57,60,48,66,41,56,70,57,43,67,66,61,46,53,43,2,2,2024,8
10627,21,65,4000,177,72,77,62,61,69,34,39,64,42,63,71,64,61,44,43,39,61,63,1,5,2023,6
1744,24,75,36000,182,79,60,56,74,69,74,70,70,69,77,66,71,69,67,73,76,73,42,1,7,2024,6
18514,19,53,2000,178,72,76,42,43,60,28,44,48,35,40,62,40,53,38,33,19,48,40,2,3,2022,7
4693,31,70,7000,180,71,67,67,69,70,65,66,71,57,67,70,72,74,54,49,68,69,74,2,5,2023,8
13396,34,62,2000,188,78,56,63,53,60,27,68,54,61,56,56,44,65,64,54,21,59,65,3,3,2022,8
18846,17,52,500,168,63,85,45,46,58,27,41,44,31,50,53,46,54,66,32,31,47,43,4,3,2022,6
8049,24,67,4000,183,71,86,64,57,70,38,67,57,59,58,69,55,68,71,60,30,62,51,1,10,2023,7
14965,21,61,2000,184,75,77,57,58,61,36,52,69,43,58,61,47,64,41,44,35,57,56,2,5,2023,6
2381,21,74,32000,171,75,83,73,69,74,37,63,72,52,69,73,69,77,59,53,29,72,63,1,2,2024,6
10751,21,65,2000,182,72,93,50,50,71,28,49,58,39,54,74,50,41,49,45,19,49,40,2,4,2022,8
11678,22,64,2000,180,73,78,63,53,66,29,62,59,57,57,66,36,63,70,58,27,48,58,3,3,2025,7
4640,32,70,7000,180,79,61,60,65,69,67,74,68,65,70,70,59,75,70,75,67,55,64,1,1,2021,7
2135,25,74,24000,178,70,62,59,75,72,66,67,73,39,79,68,73,69,64,64,73,73,60,2,3,2022,4
12220,18,64,700,170,63,72,40,63,68,60,59,46,60,72,67,47,51,61,62,53,67,52,1,7,2023,6
4650,31,70,5000,180,75,69,70,69,69,67,74,67,59,70,68,72,75,64,77,70,68,71,2,5,2023,9
2456,35,73,9000,184,82,40,37,56,59,75,71,58,76,66,54,47,63,76,77,76,36,31,1,8,2022,4
13891,19,62,2000,188,75,76,24,39,46,62,65,30,58,53,40,35,36,70,60,61,34,34,1,3,2022,6
14680,20,61,600,186,76,54,31,48,47,60,66,38,64,62,39,45,41,79,53,64,33,36,3,4,2023,6
5532,35,69,5000,178,75,71,61,65,68,65,72,67,66,67,67,59,68,71,76,65,64,68,1,1,2021,7
6305,21,69,12000,188,78,65,67,64,68,65,69,51,65,72,66,55,68,65,66,63,66,48,1,8,2022,8
4151,26,71,14000,187,73,51,67,72,68,68,69,72,71,72,66,69,80,53,73,70,72,55,1,9,2024,6
15627,18,60,5000,165,60,79,58,51,62,25,48,49,59,56,59,50,57,77,40,21,50,60,1,7,2022,8
16517,31,58,500,179,77,66,42,54,60,53,59,54,52,62,56,48,65,65,56,50,43,48,3,4,2022,6
10945,27,65,3000,182,76,70,40,49,60,64,64,60,50,54,64,35,57,58,57,63,39,41,1,1,2021,6
2083,34,74,14000,168,71,83,71,70,75,43,67,68,58,71,73,69,73,74,75,21,72,77,1,1,2022,8
9899,35,65,950,173,72,53,59,65,74,46,61,59,33,67,72,66,71,73,63,57,67,68,1,6,2022,6
9892,30,65,6000,185,80,65,64,52,61,28,84,40,65,58,59,58,68,83,87,23,56,56,4,3,2023,1
15574,19,60,2000,172,68,64,54,62,62,50,47,49,51,70,60,61,65,50,45,38,63,63,2,4,2022,6
14284,19,62,850,190,77,59,43,57,61,56,64,44,52,65,58,44,51,63,59,60,62,43,2,2,2024,6
16164,20,59,6000,184,75,64,50,56,63,40,52,51,39,59,64,53,60,52,40,31,58,57,1,2,2023,8
12338,29,63,2000,189,93,62,53,55,57,62,76,44,62,60,55,59,67,65,49,60,56,48,3,4,2023,6
5747,26,69,6000,177,68,78,54,59,65,61,68,69,53,63,63,41,62,80,72,60,64,39,2,4,2024,9
9404,28,66,2000,170,65,87,38,55,66,59,72,59,51,59,64,49,50,80,67,61,51,43,2,2,2022,6
2922,24,73,6000,171,70,81,49,65,69,68,75,66,48,69,70,52,64,76,79,72,64,47,2,1,2023,6
3506,27,72,8000,189,85,68,75,72,71,43,75,65,65,76,72,73,76,55,55,34,73,70,1,6,2021,8
945,29,77,27000,182,69,87,58,71,76,70,73,77,57,73,77,75,64,73,62,73,68,50,1,5,2022,8
15968,28,59,1000,189,87,58,25,36,44,58,70,22,58,47,39,31,43,58,64,56,29,33,3,4,2022,4
8595,20,67,6000,192,87,52,28,42,49,68,72,26,64,58,47,25,48,72,69,66,38,31,1,4,2024,6
13258,33,63,3000,182,82,54,37,44,44,63,67,41,65,51,34,28,51,66,74,57,39,40,1,1,2021,6
